Data Source;World Development Indicators;;
Last Updated Date;22/12/22;;
;;;
Europe & Central Asia (IDA & IBRD countries);TEC;458170561;459613334
Togo;TGO;7852795;8046679
Thailand;THA;70898202;71127802
Tajikistan;TJK;8925525;9128132
Turkmenistan;TKM;5968383;6065066
Latin America & the Caribbean (IDA & IBRD countries);TLA;617875842;623841282
Timor-Leste;TLS;1243235;1261845
Middle East & North Africa (IDA & IBRD countries);TMN;387152617;393806257
Tonga;TON;105415;105150
South Asia (IDA & IBRD);TSA;1818868706;1840534093
Sub-Saharan Africa (IDA & IBRD countries);TSS;1063885000;1092403699
Trinidad and Tobago;TTO;1478607;1504709
Tunisia;TUN;11811443;11933041
Turkiye;TUR;82089826;82809304
Tuvalu;TUV;10828;10865
Tanzania;TZA;56267032;58090443
Uganda;UGA;40127085;41515395
Ukraine;UKR;44831135;44622518
Upper middle income;UMC;2453799496;2469801107
Uruguay;URY;3422200;3427042
United States;USA;325122128;326838199
Uzbekistan;UZB;32388600;32956100
St. Vincent and the Grenadines;VCT;105549;105281
Venezuela, RB;VEN;30563433;29825653
British Virgin Islands;VGB;30060;30335
Virgin Islands (U.S.);VIR;107281;107001
Vietnam;VNM;94033048;94914330
Vanuatu;VUT;290239;297298
World;WLD;7578157615;7661776338
Samoa;WSM;207630;209701
Kosovo;XKX;1791003;1797085
Yemen, Rep.;YEM;30034389;30790513
South Africa;ZAF;56641209;57339635
Zambia;ZMB;17298054;17835893
Zimbabwe;ZWE;14751101;15052184
